Time_Detected,Time_Reset,Turbine_Identifier,Remark,Unit_Title_Destination
2017-01-01 00:27:33+00:00,,T06,External power ref.:2000kW,
2017-01-01 00:57:32+00:00,,T06,External power ref.:2000kW,
2017-01-01 01:27:31+00:00,,T06,External power ref.:2000kW,
2017-01-01 01:57:30+00:00,,T06,External power ref.:2000kW,
2017-01-01 02:27:30+00:00,,T06,External power ref.:2000kW,
2017-01-01 02:57:30+00:00,,T06,External power ref.:2000kW,
2017-01-01 03:27:30+00:00,,T06,External power ref.:2000kW,
2017-01-01 03:57:29+00:00,,T06,External power ref.:2000kW,
2017-01-01 04:27:29+00:00,,T06,External power ref.:2000kW,
2017-01-01 04:57:29+00:00,,T06,External power ref.:2000kW,
2017-01-01 05:27:29+00:00,,T06,External power ref.:2000kW,
2017-01-01 05:57:29+00:00,,T06,External power ref.:2000kW,
2017-01-01 06:27:28+00:00,,T06,External power ref.:2000kW,
2017-01-01 06:57:28+00:00,,T06,External power ref.:2000kW,
2017-01-01 07:27:28+00:00,,T06,External power ref.:2000kW,
2017-01-01 07:57:28+00:00,,T06,External power ref.:2000kW,
2017-01-01 08:27:28+00:00,,T06,External power ref.:2000kW,
2017-01-01 08:57:27+00:00,,T06,External power ref.:2000kW,
2017-01-01 09:27:26+00:00,,T06,External power ref.:2000kW,
2017-01-01 09:57:26+00:00,,T06,External power ref.:2000kW,
2017-01-01 10:27:26+00:00,,T06,External power ref.:2000kW,
2017-01-01 10:57:26+00:00,,T06,External power ref.:2000kW,
2017-01-01 11:27:25+00:00,,T06,External power ref.:2000kW,
2017-01-01 11:57:25+00:00,,T06,External power ref.:2000kW,
2017-01-01 12:27:25+00:00,,T06,External power ref.:2000kW,
2017-01-01 12:57:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 13:27:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 13:57:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 14:27:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 14:57:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 15:27:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 15:57:24+00:00,,T06,External power ref.:2000kW,
2017-01-01 16:27:23+00:00,,T06,External power ref.:2000kW,
2017-01-01 16:57:23+00:00,,T06,External power ref.:2000kW,
2017-01-01 17:27:23+00:00,,T06,External power ref.:2000kW,
2017-01-01 17:57:23+00:00,,T06,External power ref.:2000kW,
2017-01-01 18:27:22+00:00,,T06,External power ref.:2000kW,
2017-01-01 18:57:21+00:00,,T06,External power ref.:2000kW,
